phase,algo,servers,load_frac,load_pct,target_qps,workers,duration_s,started,ended,total_responses,ok_responses,error_responses,error_pct,response_qps,error_qps,p50_us,p90_us,p99_us,p99_9_us,avg_us,status_dist
1,wrr,20,0.75,75,375,30,240,2026-07-05T17:17:16,2026-07-05T17:21:19,90000,89996,4,0.00444444444444,375,0.0166666666667,37400,51700,91000,107100,31039.3477778,"{""200"": 89996, ""503"": 4}"
2,prequal,20,0.75,75,375,30,240,2026-07-05T17:21:20,2026-07-05T17:25:23,89997,89997,0,0,374.9875,0,15900,52200,90500,99200,29336.5945532,"{""200"": 89997}"
3,wrr,20,0.83,83,415,30,240,2026-07-05T17:25:23,2026-07-05T17:29:27,99600,99598,2,0.00200803212851,415,0.00833333333333,38000,54400,91200,113200,31270.62249,"{""200"": 99598, ""503"": 2}"
4,prequal,20,0.83,83,415,30,240,2026-07-05T17:29:27,2026-07-05T17:33:31,99600,99600,0,0,415,0,15500,52400,90100,101600,29235.1696787,"{""200"": 99600}"
5,wrr,20,0.93,93,465,30,240,2026-07-05T17:33:31,2026-07-05T17:37:35,111542,111532,10,0.0089652328271,464.758333333,0.0416666666667,37900,56700,91200,115500,31714.7603593,"{""200"": 111532, ""503"": 10}"
6,prequal,20,0.93,93,465,30,240,2026-07-05T17:37:36,2026-07-05T17:41:40,111572,111570,2,0.00179256444269,464.883333333,0.00833333333333,15200,52400,90600,106300,29286.8183774,"{""200"": 111570, ""503"": 2}"
7,wrr,20,1.03,103,515,30,240,2026-07-05T17:41:40,2026-07-05T17:45:45,123298,123284,14,0.011354604292,513.741666667,0.0583333333333,37600,59700,92000,119300,32082.6550309,"{""200"": 123284, ""503"": 14}"
8,prequal,20,1.03,103,515,30,240,2026-07-05T17:45:45,2026-07-05T17:49:50,123528,123526,2,0.00161906612266,514.7,0.00833333333333,14900,52200,89900,104100,28669.3284114,"{""200"": 123526, ""503"": 2}"
9,wrr,20,1.14,114,570,30,240,2026-07-05T17:49:50,2026-07-05T17:53:55,135575,135539,36,0.0265535681357,564.895833333,0.15,15000,62600,94200,124300,33049.179421,"{""200"": 135539, ""503"": 36}"
10,prequal,20,1.14,114,570,30,240,2026-07-05T17:53:56,2026-07-05T17:58:01,136669,136666,3,0.00219508447417,569.454166667,0.0125,14700,52500,89900,104300,28617.7245754,"{""200"": 136666, ""503"": 3}"
11,wrr,20,1.27,127,635,30,240,2026-07-05T17:58:02,2026-07-05T18:02:07,148394,148326,68,0.0458239551464,618.308333333,0.283333333333,14500,66700,100300,129300,34549.7553809,"{""200"": 148326, ""503"": 68}"
12,prequal,20,1.27,127,635,30,240,2026-07-05T18:02:08,2026-07-05T18:06:13,151803,151803,0,0,632.5125,0,13800,52000,87400,98100,27742.1882308,"{""200"": 151803}"
13,wrr,20,1.41,141,705,30,240,2026-07-05T18:06:14,2026-07-05T18:10:19,156072,155968,104,0.0666359116305,650.3,0.433333333333,14800,66900,101600,132500,36065.5652519,"{""200"": 155968, ""503"": 104}"
14,prequal,20,1.41,141,705,30,240,2026-07-05T18:10:20,2026-07-05T18:14:26,167982,167982,0,0,699.925,0,12400,48900,76300,91800,21963.3871486,"{""200"": 167982}"
15,wrr,20,1.57,157,785,30,240,2026-07-05T18:14:27,2026-07-05T18:18:33,167738,167611,127,0.0757133148124,698.908333333,0.529166666667,12700,67100,105400,133700,35616.8107406,"{""200"": 167611, ""503"": 127}"
16,prequal,20,1.57,157,785,30,240,2026-07-05T18:18:34,2026-07-05T18:22:40,187795,187795,0,0,782.479166667,0,11900,46900,56300,86800,18106.2877073,"{""200"": 187795}"
17,wrr,20,1.74,174,870,30,240,2026-07-05T18:22:41,2026-07-05T18:26:47,179368,179233,135,0.0752642611837,747.366666667,0.5625,12200,65500,104000,133300,34043.9643638,"{""200"": 179233, ""503"": 135}"
18,prequal,20,1.74,174,870,30,240,2026-07-05T18:26:48,2026-07-05T18:30:55,208221,208221,0,0,867.5875,0,11700,45800,55900,83300,17068.4364209,"{""200"": 208221}"
