phase,algo,servers,load_frac,load_pct,target_qps,workers,bin_seconds,bin_index,timestamp,elapsed_s,p50_us,p90_us,p99_us,p99_9_us,avg_us,total_responses,ok_responses,error_responses,response_qps,error_qps,status_dist
1,wrr,20,0.75,75,375,30,5,0,2026-07-05T17:17:18,2.5,39100,51200,89000,95400,30936.9892473,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,1,2026-07-05T17:17:23,7.5,39400,52000,91600,101200,31214.4086022,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,2,2026-07-05T17:17:28,12.5,14300,51700,90500,111300,30178.3597884,1890,1890,0,378,0,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,3,2026-07-05T17:17:33,17.5,38500,51600,91300,102400,30918.3870968,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,4,2026-07-05T17:17:38,22.5,15000,50700,89000,96600,29985.7671958,1890,1890,0,378,0,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,5,2026-07-05T17:17:43,27.5,40300,52000,89700,98000,31714.4086022,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,6,2026-07-05T17:17:48,32.5,15700,51000,90300,94600,30501.005291,1890,1890,0,378,0,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,7,2026-07-05T17:17:53,37.5,16200,51700,89900,97100,30765.5913978,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,8,2026-07-05T17:17:58,42.5,38800,53100,91900,105600,31413.9153439,1890,1890,0,378,0,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,9,2026-07-05T17:18:03,47.5,15400,51300,90900,128800,30619.4623656,1860,1860,0,372,0,"{""200"": 1860}"
