phase,algo,servers,load_frac,load_pct,target_qps,workers,bin_seconds,bin_index,timestamp,elapsed_s,p50_us,p90_us,p99_us,p99_9_us,avg_us,total_responses,ok_responses,error_responses,response_qps,error_qps,status_dist
1,wrr,20,0.75,75,375,30,5,0,2026-07-05T17:17:18,2.5,30933.3333333,51633.3333333,90366.6666667,102633.333333,30776.5858793,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,1,2026-07-05T17:17:23,7.5,32825,51625,90600,102575,30812.0361836,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,2,2026-07-05T17:17:28,12.5,29260,51440,90280,101380,30646.7823861,1890,1890,0,378,0,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,3,2026-07-05T17:17:33,17.5,29500,51600,90420,101900,30802.266257,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,4,2026-07-05T17:17:38,22.5,24760,51400,90160,100580,30659.5855948,1890,1890,0,378,0,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,5,2026-07-05T17:17:43,27.5,25140,51400,90040,97740,30777.0319167,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,6,2026-07-05T17:17:48,32.5,25200,51700,90160,98380,30876.1375661,1890,1890,0,378,0,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,7,2026-07-05T17:17:53,37.5,25280,51820,90540,104820,31002.8766001,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,8,2026-07-05T17:17:58,42.5,25180,52160,91060,113300,31568.2065199,1890,1890,0,378,0.04,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,9,2026-07-05T17:18:03,47.5,30040,52380,91300,116540,31791.4140638,1860,1860,0,372,0.04,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,10,2026-07-05T17:18:08,52.5,29840,52280,91720,119540,31724.6767366,1890,1889,1,378,0.04,"{""200"": 1889, ""503"": 1}"
1,wrr,20,0.75,75,375,30,5,11,2026-07-05T17:18:13,57.5,24960,51880,91280,117660,31441.474313,1860,1860,0,372,0.04,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,12,2026-07-05T17:18:18,62.5,24900,52020,91420,113720,31514.3860727,1890,1890,0,378,0.04,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,13,2026-07-05T17:18:23,67.5,24900,51680,91040,105680,30902.4002389,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,14,2026-07-05T17:18:28,72.5,19740,51480,91260,103960,30601.0974569,1890,1890,0,378,0,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,15,2026-07-05T17:18:33,77.5,24540,51700,90940,103960,30789.3939239,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,16,2026-07-05T17:18:38,82.5,29260,52100,91380,109800,31019.4958184,1890,1890,0,378,0,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,17,2026-07-05T17:18:43,87.5,33900,52400,92100,112540,31110.8636286,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,18,2026-07-05T17:18:48,92.5,28940,52200,92160,113520,30902.1616317,1890,1890,0,378,0,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,19,2026-07-05T17:18:53,97.5,29080,52220,91880,117400,31507.3676395,1860,1860,0,372,0.04,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,20,2026-07-05T17:18:58,102.5,24140,52080,91900,115000,31243.3886329,1890,1890,0,378,0.04,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,21,2026-07-05T17:19:03,107.5,19440,51740,91520,109260,31049.265233,1860,1859,1,372,0.04,"{""200"": 1859, ""503"": 1}"
1,wrr,20,0.75,75,375,30,5,22,2026-07-05T17:19:08,112.5,19620,51440,90820,109420,31006.3418672,1890,1890,0,378,0.04,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,23,2026-07-05T17:19:13,117.5,24380,51480,90920,111340,31114.7427889,1860,1860,0,372,0.04,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,24,2026-07-05T17:19:18,122.5,24460,51640,91180,108440,30667.6002731,1890,1890,0,378,0,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,25,2026-07-05T17:19:23,127.5,24600,51540,91420,112760,30751.3427206,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,26,2026-07-05T17:19:28,132.5,24620,51480,91580,112760,30759.7941628,1890,1890,0,378,0,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,27,2026-07-05T17:19:33,137.5,24660,51560,91380,110120,30795.0401092,1860,1860,0,372,0,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,28,2026-07-05T17:19:38,142.5,19800,51740,91400,110080,30749.7714627,1890,1890,0,378,0,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,29,2026-07-05T17:19:43,147.5,19620,51640,90880,116480,31176.688172,1860,1860,0,372,0.04,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,30,2026-07-05T17:19:48,152.5,24240,51660,90740,112820,31221.8981055,1890,1890,0,378,0.04,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,31,2026-07-05T17:19:53,157.5,25100,51780,90980,115360,31355.6402116,1860,1859,1,372,0.04,"{""200"": 1859, ""503"": 1}"
1,wrr,20,0.75,75,375,30,5,32,2026-07-05T17:19:58,162.5,25200,52080,91640,115760,31459.124424,1890,1890,0,378,0.04,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,33,2026-07-05T17:20:03,167.5,25420,52180,91840,116140,32009.167264,1860,1860,0,372,0.08,"{""200"": 1860}"
1,wrr,20,0.75,75,375,30,5,34,2026-07-05T17:20:08,172.5,25340,52000,91480,107200,31315.2981737,1890,1890,0,378,0.04,"{""200"": 1890}"
1,wrr,20,0.75,75,375,30,5,35,2026-07-05T17:20:13,177.5,20480,52060,91820,111340,31217.9807134,1860,1859,1,372,0.04,"{""200"": 1859, ""503"": 1}"
