phase,algo,servers,load_frac,load_pct,target_qps,host,server_index,timestamp,elapsed_s,host_cpu_pct
1,wrr,20,0.75,75,375,bhost7,7,2026-07-05T17:17:28,12.001,1.2170385395537497
1,wrr,20,0.75,75,375,bhost10,10,2026-07-05T17:17:28,12.001,0.9035589157292967
1,wrr,20,0.75,75,375,bhost1,1,2026-07-05T17:17:28,12.001,1.5625
1,wrr,20,0.75,75,375,bhost6,6,2026-07-05T17:17:28,12.001,0.5940226471134236
1,wrr,20,0.75,75,375,bhost2,2,2026-07-05T17:17:28,12.001,0.6839186691312338
1,wrr,20,0.75,75,375,bhost5,5,2026-07-05T17:17:28,12.001,1.63325909428359
1,wrr,20,0.75,75,375,bhost4,4,2026-07-05T17:17:28,12.001,0.7982179320586646
1,wrr,20,0.75,75,375,bhost9,9,2026-07-05T17:17:28,12.001,1.3382899628252787
1,wrr,20,0.75,75,375,bhost8,8,2026-07-05T17:17:28,12.001,1.0903714655331687
1,wrr,20,0.75,75,375,bhost3,3,2026-07-05T17:17:28,12.001,1.4972273567467664
1,wrr,20,0.75,75,375,bhost11,11,2026-07-05T17:17:28,12.001,1.7303669899220386
1,wrr,20,0.75,75,375,bhost12,12,2026-07-05T17:17:28,12.001,1.0518263530311711
1,wrr,20,0.75,75,375,bhost14,14,2026-07-05T17:17:28,12.001,1.0670731707317027
1,wrr,20,0.75,75,375,bhost13,13,2026-07-05T17:17:28,12.001,1.8119397291626926
1,wrr,20,0.75,75,375,bhost15,15,2026-07-05T17:17:28,12.001,1.378518093049974
1,wrr,20,0.75,75,375,bhost17,17,2026-07-05T17:17:28,12.001,1.4154552410099441
1,wrr,20,0.75,75,375,bhost16,16,2026-07-05T17:17:28,12.001,0.8213944603629453
1,wrr,20,0.75,75,375,bhost19,19,2026-07-05T17:17:28,12.001,2.0267686424474185
1,wrr,20,0.75,75,375,bhost18,18,2026-07-05T17:17:28,12.001,1.219279862831013
1,wrr,20,0.75,75,375,bhost20,20,2026-07-05T17:17:28,12.001,0.8398549341477435
1,wrr,20,0.75,75,375,bhost7,7,2026-07-05T17:17:34,18.566,1.1075652337150355
1,wrr,20,0.75,75,375,bhost10,10,2026-07-05T17:17:34,18.566,0.7881403640457862
1,wrr,20,0.75,75,375,bhost4,4,2026-07-05T17:17:34,18.566,0.9417969485778888
1,wrr,20,0.75,75,375,bhost2,2,2026-07-05T17:17:34,18.566,0.6793734666918239
1,wrr,20,0.75,75,375,bhost1,1,2026-07-05T17:17:34,18.566,1.5222702499530172
1,wrr,20,0.75,75,375,bhost5,5,2026-07-05T17:17:34,18.566,1.621112158341187
1,wrr,20,0.75,75,375,bhost6,6,2026-07-05T17:17:34,18.566,0.7909604519773961
1,wrr,20,0.75,75,375,bhost3,3,2026-07-05T17:17:34,18.566,1.62080663399925
1,wrr,20,0.75,75,375,bhost8,8,2026-07-05T17:17:34,18.566,0.865963855421692
1,wrr,20,0.75,75,375,bhost9,9,2026-07-05T17:17:34,18.566,1.6588124410933047
1,wrr,20,0.75,75,375,bhost12,12,2026-07-05T17:17:34,18.566,1.0127531882970775
1,wrr,20,0.75,75,375,bhost13,13,2026-07-05T17:17:34,18.566,1.5645617342130103
1,wrr,20,0.75,75,375,bhost11,11,2026-07-05T17:17:34,18.566,1.5548894717122508
1,wrr,20,0.75,75,375,bhost15,15,2026-07-05T17:17:34,18.566,1.5029118917903483
1,wrr,20,0.75,75,375,bhost14,14,2026-07-05T17:17:34,18.566,1.0873640794900608
1,wrr,20,0.75,75,375,bhost16,16,2026-07-05T17:17:34,18.566,0.844436104334767
