algo,servers,load_frac,load_pct,target_qps,workers,bin_seconds,bin_index,timestamp,elapsed_s,p50_us,p90_us,p99_us,p99_9_us,avg_us,total_responses,ok_responses,error_responses,response_qps,error_qps,status_dist
wrr,20,0.75,75,375,30,5,0,2026-07-05T17:17:18,2.501,39100.0,51200.0,89000.0,95400.0,30936.989247311827,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,1,2026-07-05T17:17:23,7.501,39400.0,52000.0,91600.0,101200.0,31214.40860215054,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,2,2026-07-05T17:17:28,12.501,14300.0,51700.0,90500.0,111300.0,30178.359788359787,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,3,2026-07-05T17:17:33,17.501,38500.0,51600.0,91300.0,102400.0,30918.387096774193,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,4,2026-07-05T17:17:38,22.501,15000.0,50700.0,89000.0,96600.0,29985.767195767196,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,5,2026-07-05T17:17:43,27.501,40300.0,52000.0,89700.0,98000.0,31714.40860215054,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,6,2026-07-05T17:17:48,32.501,15699.999999999998,51000.0,90300.0,94600.0,30501.00529100529,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,7,2026-07-05T17:17:53,37.501,16200.0,51700.0,89900.0,97100.0,30765.59139784946,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,8,2026-07-05T17:17:58,42.501,38800.0,53100.0,91900.0,105600.0,31413.915343915345,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,9,2026-07-05T17:18:03,47.501,15400.0,51300.0,90900.0,128800.0,30619.462365591397,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,10,2026-07-05T17:18:08,52.501,39800.0,53700.0,92300.0,135200.0,31912.440444679723,1890,1889,1,378.0,0.2,"{""200"": 1889, ""503"": 1}"
wrr,20,0.75,75,375,30,5,11,2026-07-05T17:18:13,57.501,40000.0,52100.0,91500.0,110800.0,31617.043010752688,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,12,2026-07-05T17:18:18,62.501,15200.0,51200.0,92000.0,112100.0,30431.904761904763,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,13,2026-07-05T17:18:23,67.501,14400.0,51100.0,89700.0,96200.0,29997.90322580645,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,14,2026-07-05T17:18:28,72.501,15100.0,52000.0,91600.0,109100.0,30984.021164021164,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,15,2026-07-05T17:18:33,77.501,39800.0,52000.0,90400.0,100200.0,31481.129032258064,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,16,2026-07-05T17:18:38,82.501,14200.0,51100.0,92600.0,102200.0,30110.5291005291,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,17,2026-07-05T17:18:43,87.501,39200.0,52300.0,90400.0,112100.0,31373.387096774193,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,18,2026-07-05T17:18:48,92.501,38000.0,53100.0,91900.0,125400.00000000001,31148.4126984127,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,19,2026-07-05T17:18:53,97.501,38300.0,53500.0,95200.0,122800.0,31440.860215053763,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,20,2026-07-05T17:18:58,102.501,15000.0,51000.0,90700.0,105100.0,30437.619047619046,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,21,2026-07-05T17:19:03,107.501,14900.0,51200.0,91200.0,115700.0,30464.76600322754,1860,1859,1,372.0,0.2,"{""200"": 1859, ""503"": 1}"
wrr,20,0.75,75,375,30,5,22,2026-07-05T17:19:08,112.501,14500.0,51600.0,90500.0,100100.0,30053.492063492064,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,23,2026-07-05T17:19:13,117.501,14500.0,51400.0,90000.0,96700.0,30177.795698924732,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,24,2026-07-05T17:19:18,122.501,39200.0,52000.0,91700.0,123600.0,31226.243386243386,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,25,2026-07-05T17:19:23,127.501,38800.0,51200.0,91200.0,114700.0,30979.62365591398,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,26,2026-07-05T17:19:28,132.501,15300.0,52000.0,92500.0,107100.0,30900.84656084656,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,27,2026-07-05T17:19:33,137.501,15200.0,51100.0,91700.0,121700.0,30472.204301075268,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,28,2026-07-05T17:19:38,142.501,14600.0,51100.0,90800.0,96700.0,30220.05291005291,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,29,2026-07-05T17:19:43,147.501,39400.0,52400.0,90700.0,110400.0,31402.47311827957,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,30,2026-07-05T17:19:48,152.501,14500.0,52100.0,91300.0,114500.0,30753.280423280423,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,31,2026-07-05T17:19:53,157.501,14400.0,51500.0,89700.0,128000.0,30363.582571274877,1860,1859,1,372.0,0.2,"{""200"": 1859, ""503"": 1}"
wrr,20,0.75,75,375,30,5,32,2026-07-05T17:19:58,162.501,38300.0,51200.0,91000.0,103400.0,30698.25396825397,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,33,2026-07-05T17:20:03,167.501,18900.0,51700.0,92000.0,109400.0,30888.763440860213,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,34,2026-07-05T17:20:08,172.501,39900.0,53900.0,94000.0,112400.0,31919.89417989418,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,35,2026-07-05T17:20:13,177.501,15600.0,52600.0,92200.0,111100.0,30831.89887036041,1860,1859,1,372.0,0.2,"{""200"": 1859, ""503"": 1}"
wrr,20,0.75,75,375,30,5,36,2026-07-05T17:20:18,182.501,14000.0,50600.0,88100.0,94400.0,29566.084656084655,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,37,2026-07-05T17:20:23,187.501,14000.0,51500.0,92700.0,124100.0,30211.666666666668,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,38,2026-07-05T17:20:28,192.501,39000.0,51700.0,89400.0,96000.0,31164.497354497355,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,39,2026-07-05T17:20:33,197.501,14500.0,51300.0,93400.0,136200.0,30445.43010752688,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,40,2026-07-05T17:20:38,202.501,14200.0,50800.0,90700.0,118700.0,30183.862433862432,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,41,2026-07-05T17:20:43,207.501,40800.0,52400.0,89200.0,102500.0,32087.09677419355,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,42,2026-07-05T17:20:48,212.501,39600.0,54900.0,92400.0,116000.0,31932.433862433863,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,43,2026-07-05T17:20:53,217.501,14700.0,51300.0,91200.0,97400.0,30471.344086021505,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,44,2026-07-05T17:20:58,222.501,39000.0,52500.0,90700.0,115400.0,31143.915343915345,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,45,2026-07-05T17:21:03,227.501,15699.999999999998,51300.0,89700.0,106800.0,30655.752688172044,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.75,75,375,30,5,46,2026-07-05T17:21:08,232.501,14400.0,51400.0,91500.0,123900.0,30328.4126984127,1890,1890,0,378.0,0.0,"{""200"": 1890}"
wrr,20,0.75,75,375,30,5,47,2026-07-05T17:21:13,237.501,15100.0,51500.0,90300.0,101600.0,30563.333333333332,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,0,2026-07-05T17:21:22,246.242,15900.000000000002,51800.0,90000.0,98100.0,29060.21505376344,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,1,2026-07-05T17:21:27,251.242,16200.0,52100.0,90800.0,100000.0,30163.709677419356,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,2,2026-07-05T17:21:32,256.242,16000.0,51700.0,89300.0,98900.0,28997.93650793651,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,3,2026-07-05T17:21:37,261.242,15600.0,51900.0,89900.0,99000.0,28891.182795698925,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,4,2026-07-05T17:21:42,266.242,15500.0,52100.0,91900.0,131900.0,29161.11111111111,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,5,2026-07-05T17:21:47,271.242,15900.000000000002,52000.0,90200.0,99300.0,29032.09677419355,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,6,2026-07-05T17:21:52,276.242,16000.0,51900.0,89800.0,97200.0,28700.84656084656,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,7,2026-07-05T17:21:57,281.242,16600.0,52700.0,92200.0,129399.99999999999,30615.2688172043,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,8,2026-07-05T17:22:02,286.242,15800.000000000002,52300.0,91200.0,102000.0,29320.31746031746,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,9,2026-07-05T17:22:07,291.242,15900.000000000002,52200.0,90300.0,99600.0,29658.817204301075,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,10,2026-07-05T17:22:12,296.242,15699.999999999998,51900.0,89100.0,95800.0,28726.084656084655,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,11,2026-07-05T17:22:17,301.242,15699.999999999998,52100.0,91300.0,106600.0,29444.354838709678,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,12,2026-07-05T17:22:22,306.242,15800.000000000002,52200.0,91300.0,97100.0,29344.074074074073,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,13,2026-07-05T17:22:27,311.242,15500.0,52000.0,90100.0,98800.0,29024.139784946237,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,14,2026-07-05T17:22:32,316.242,15500.0,52400.0,89100.0,95400.0,29322.1164021164,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,15,2026-07-05T17:22:37,321.242,15800.000000000002,52200.0,90600.0,98100.0,29511.129032258064,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,16,2026-07-05T17:22:42,326.242,15900.000000000002,52600.0,91600.0,131000.0,29673.544973544973,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,17,2026-07-05T17:22:47,331.242,15699.999999999998,52400.0,91700.0,102600.0,29173.440860215054,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,18,2026-07-05T17:22:52,336.242,16299.999999999998,52300.0,91100.0,97400.0,29844.391534391536,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,19,2026-07-05T17:22:57,341.242,15900.000000000002,52300.0,90600.0,100700.0,29701.989247311827,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,20,2026-07-05T17:23:02,346.242,15900.000000000002,52300.0,92000.0,143200.0,29396.507936507936,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,21,2026-07-05T17:23:07,351.242,15300.0,51800.0,88500.0,95600.0,28439.62365591398,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,22,2026-07-05T17:23:12,356.242,16200.0,52900.0,88200.0,101400.0,29641.00529100529,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,23,2026-07-05T17:23:17,361.242,16000.0,52900.0,92200.0,128399.99999999999,30532.204301075268,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,24,2026-07-05T17:23:22,366.242,15500.0,51700.0,88100.0,94800.0,28352.222222222223,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,25,2026-07-05T17:23:27,371.242,15300.0,52400.0,92500.0,129800.0,29342.15053763441,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,26,2026-07-05T17:23:32,376.242,15900.000000000002,51800.0,91400.0,99600.0,29211.79894179894,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,27,2026-07-05T17:23:37,381.242,15800.000000000002,52400.0,90200.0,96600.0,29440.2688172043,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,28,2026-07-05T17:23:42,386.242,16100.0,51600.0,88200.0,92800.0,28624.973544973545,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,29,2026-07-05T17:23:47,391.242,16000.0,52700.0,92200.0,101500.0,29579.032258064515,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,30,2026-07-05T17:23:52,396.242,15800.000000000002,52100.0,90500.0,99200.0,29266.243386243386,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,31,2026-07-05T17:23:57,401.242,16000.0,52600.0,87700.0,95800.0,29157.36559139785,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,32,2026-07-05T17:24:02,406.242,16200.0,52300.0,90000.0,102100.0,29933.597883597882,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,33,2026-07-05T17:24:07,411.242,16200.0,53000.0,92000.0,101800.0,29994.354838709678,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,34,2026-07-05T17:24:12,416.242,16100.0,52400.0,91800.0,103400.0,28973.068783068782,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,35,2026-07-05T17:24:17,421.242,15800.000000000002,51900.0,89700.0,100200.0,28718.387096774193,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,36,2026-07-05T17:24:22,426.242,15500.0,52200.0,90700.0,99700.0,28944.126984126986,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,37,2026-07-05T17:24:27,431.242,16100.0,52300.0,91900.0,127900.00000000001,29421.88172043011,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,38,2026-07-05T17:24:32,436.242,16299.999999999998,52800.0,91300.0,123400.0,29725.978835978836,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,39,2026-07-05T17:24:37,441.242,15500.0,51800.0,90700.0,97700.0,28863.924731182797,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,40,2026-07-05T17:24:42,446.242,15699.999999999998,52200.0,91800.0,96900.0,29811.428571428572,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,41,2026-07-05T17:24:47,451.242,15800.000000000002,52500.0,90500.0,98400.0,29397.90322580645,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,42,2026-07-05T17:24:52,456.242,15699.999999999998,51700.0,89100.0,98000.0,28434.232804232804,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,43,2026-07-05T17:24:57,461.242,15699.999999999998,52400.0,91200.0,141100.0,29460.645161290322,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,44,2026-07-05T17:25:02,466.242,16200.0,52800.0,91800.0,130000.0,30310.899470899472,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,45,2026-07-05T17:25:07,471.242,15900.000000000002,52100.0,90400.0,96800.0,29398.333333333332,1860,1860,0,372.0,0.0,"{""200"": 1860}"
prequal,20,0.75,75,375,30,5,46,2026-07-05T17:25:12,476.242,15800.000000000002,52000.0,90400.0,96700.0,29129.94708994709,1890,1890,0,378.0,0.0,"{""200"": 1890}"
prequal,20,0.75,75,375,30,5,47,2026-07-05T17:25:17,481.242,15900.000000000002,52100.0,89000.0,97300.0,29364.62365591398,1860,1860,0,372.0,0.0,"{""200"": 1860}"
wrr,20,0.83,83,415,30,5,0,2026-07-05T17:25:26,489.858,39500.0,57600.0,90600.0,99100.0,31936.684388593523,2069,2069,0,413.8,0.0,"{""200"": 2069}"
wrr,20,0.83,83,415,30,5,1,2026-07-05T17:25:31,494.858,39900.0,57000.0,93400.0,116400.0,31961.516175760502,2071,2071,0,414.2,0.0,"{""200"": 2071}"
wrr,20,0.83,83,415,30,5,2,2026-07-05T17:25:36,499.858,40200.0,59100.0,94700.0,123100.0,32553.8424359594,2070,2069,1,414.0,0.2,"{""200"": 2069, ""503"": 1}"
wrr,20,0.83,83,415,30,5,3,2026-07-05T17:25:41,504.858,17000.0,55200.0,91100.0,116700.0,31189.033816425122,2070,2070,0,414.0,0.0,"{""200"": 2070}"
wrr,20,0.83,83,415,30,5,4,2026-07-05T17:25:46,509.858,38600.0,57200.0,92500.0,112300.0,31521.690821256037,2070,2070,0,414.0,0.0,"{""200"": 2070}"
wrr,20,0.83,83,415,30,5,5,2026-07-05T17:25:51,514.858,39100.0,57100.0,91200.0,118500.0,31770.0,2070,2070,0,414.0,0.0,"{""200"": 2070}"
wrr,20,0.83,83,415,30,5,6,2026-07-05T17:25:56,519.858,38500.0,56500.0,91200.0,112400.0,31462.95238095238,2100,2100,0,420.0,0.0,"{""200"": 2100}"
wrr,20,0.83,83,415,30,5,7,2026-07-05T17:26:01,524.858,37200.0,53100.0,90800.0,108000.0,31071.179883945842,2068,2068,0,413.6,0.0,"{""200"": 2068}"
wrr,20,0.83,83,415,30,5,8,2026-07-05T17:26:06,529.858,14900.0,52500.0,89400.0,104500.0,30485.08687258687,2072,2072,0,414.4,0.0,"{""200"": 2072}"
wrr,20,0.83,83,415,30,5,9,2026-07-05T17:26:11,534.858,14200.0,50900.0,90500.0,103800.0,29873.719806763285,2070,2070,0,414.0,0.0,"{""200"": 2070}"
