phase,algo,servers,load_frac,load_pct,target_qps,workers,duration_s,started,ended,command,returncode,total_responses,ok_responses,error_responses,error_pct,response_qps,error_qps,p50_us,p90_us,p99_us,p99_9_us,avg_us,status_dist
1,wrr,10,0.75,75,188,15,240,2026-07-06T20:25:08,2026-07-06T20:29:09,hey -z 240s -q 12.5333 -c 15 -o csv http://localhost:8081,0,45120,45120,0,0.0,188.0,0.0,37900.0,50900.0,89500.0,102600.0,30258.97606382979,"{""200"": 45120}"
2,prequal,10,0.75,75,188,15,240,2026-07-06T20:29:09,2026-07-06T20:33:11,hey -z 240s -q 12.5333 -c 15 -o csv http://localhost:8080,0,45120,45120,0,0.0,188.0,0.0,11900.0,15699.999999999998,55100.0,93800.0,15104.461436170213,"{""200"": 45120}"
3,wrr,10,0.83,83,208,15,240,2026-07-06T20:33:11,2026-07-06T20:37:13,hey -z 240s -q 13.8667 -c 15 -o csv http://localhost:8081,0,49920,49920,0,0.0,208.0,0.0,14100.0,51400.0,88900.0,101800.0,30051.28605769231,"{""200"": 49920}"
4,prequal,10,0.83,83,208,15,240,2026-07-06T20:37:13,2026-07-06T20:41:15,hey -z 240s -q 13.8667 -c 15 -o csv http://localhost:8080,0,49920,49920,0,0.0,208.0,0.0,11900.0,15699.999999999998,55500.0,93000.0,15087.29967948718,"{""200"": 49920}"
5,wrr,10,0.93,93,232,15,240,2026-07-06T20:41:15,2026-07-06T20:45:17,hey -z 240s -q 15.4667 -c 15 -o csv http://localhost:8081,0,55662,55661,1,0.0017965577952642735,231.925,0.004166666666666667,37300.0,53400.0,89400.0,107700.0,30566.220513465443,"{""200"": 55661, ""503"": 1}"
6,prequal,10,0.93,93,232,15,240,2026-07-06T20:45:18,2026-07-06T20:49:19,hey -z 240s -q 15.4667 -c 15 -o csv http://localhost:8080,0,55673,55673,0,0.0,231.97083333333333,0.0,11900.0,16100.0,58900.0,94400.0,15243.875846460582,"{""200"": 55673}"
7,wrr,10,1.03,103,258,15,240,2026-07-06T20:49:20,2026-07-06T20:53:22,hey -z 240s -q 17.2000 -c 15 -o csv http://localhost:8081,0,61798,61796,2,0.0032363506909608725,257.4916666666667,0.008333333333333333,37900.0,56800.0,90000.0,113400.0,30868.36526636028,"{""200"": 61796, ""503"": 2}"
8,prequal,10,1.03,103,258,15,240,2026-07-06T20:53:22,2026-07-06T20:57:24,hey -z 240s -q 17.2000 -c 15 -o csv http://localhost:8080,0,61902,61901,1,0.0016154566896061516,257.925,0.004166666666666667,11900.0,15900.000000000002,58100.0,94800.0,15162.053924815431,"{""200"": 61901, ""503"": 1}"
9,wrr,10,1.14,114,285,15,240,2026-07-06T20:57:25,2026-07-06T21:01:27,hey -z 240s -q 19.0000 -c 15 -o csv http://localhost:8081,0,67902,67901,1,0.001472710671261524,282.925,0.004166666666666667,38000.0,60300.0,91500.0,118700.0,31306.52420435634,"{""200"": 67901, ""503"": 1}"
10,prequal,10,1.14,114,285,15,240,2026-07-06T21:01:27,2026-07-06T21:05:30,hey -z 240s -q 19.0000 -c 15 -o csv http://localhost:8080,0,68377,68377,0,0.0,284.90416666666664,0.0,11900.0,15699.999999999998,54800.0,93700.0,15033.754040101203,"{""200"": 68377}"
