response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0103,0.0010,0.0006,0.0001,0.0090,0.0001,200,0.0753
0.0108,0.0015,0.0012,0.0002,0.0089,0.0001,200,0.0747
0.0116,0.0015,0.0010,0.0002,0.0096,0.0001,200,0.0748
0.0121,0.0014,0.0009,0.0001,0.0102,0.0001,200,0.0747
0.0120,0.0015,0.0009,0.0001,0.0102,0.0001,200,0.0749
0.0402,0.0010,0.0006,0.0002,0.0385,0.0001,200,0.0749
0.0449,0.0012,0.0006,0.0001,0.0436,0.0001,200,0.0754
0.0462,0.0012,0.0008,0.0001,0.0444,0.0001,200,0.0748
0.0485,0.0008,0.0005,0.0001,0.0475,0.0001,200,0.0753
0.0493,0.0006,0.0003,0.0001,0.0482,0.0001,200,0.0752
0.0515,0.0017,0.0014,0.0001,0.0497,0.0000,200,0.0750
0.0530,0.0010,0.0007,0.0001,0.0518,0.0001,200,0.0754
0.0722,0.0013,0.0010,0.0000,0.0705,0.0001,200,0.0749
0.0726,0.0013,0.0006,0.0000,0.0711,0.0001,200,0.0753
0.0783,0.0023,0.0008,0.0000,0.0760,0.0001,200,0.0754
0.0080,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.1472
0.0092,0.0000,0.0000,0.0000,0.0091,0.0001,200,0.1471
0.0109,0.0000,0.0000,0.0000,0.0108,0.0001,200,0.1472
0.0111,0.0000,0.0000,0.0000,0.0110,0.0001,200,0.1470
0.0112,0.0000,0.0000,0.0000,0.0111,0.0001,200,0.1473
0.0114,0.0000,0.0000,0.0000,0.0113,0.0001,200,0.1471
0.0125,0.0000,0.0000,0.0000,0.0124,0.0001,200,0.1472
0.0126,0.0000,0.0000,0.0000,0.0124,0.0000,200,0.1471
0.0126,0.0000,0.0000,0.0000,0.0125,0.0001,200,0.1472
0.0114,0.0000,0.0000,0.0000,0.0113,0.0001,200,0.1537
0.0419,0.0000,0.0000,0.0000,0.0418,0.0001,200,0.1470
0.0434,0.0000,0.0000,0.0000,0.0432,0.0001,200,0.1469
0.0435,0.0000,0.0000,0.0000,0.0433,0.0001,200,0.1469
0.0450,0.0000,0.0000,0.0000,0.0449,0.0001,200,0.1479
0.0515,0.0000,0.0000,0.0000,0.0513,0.0001,200,0.1470
0.0086,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.2191
0.0094,0.0000,0.0000,0.0000,0.0093,0.0001,200,0.2190
0.0100,0.0000,0.0000,0.0000,0.0098,0.0001,200,0.2189
0.0101,0.0000,0.0000,0.0001,0.0099,0.0001,200,0.2189
0.0106,0.0000,0.0000,0.0000,0.0104,0.0001,200,0.2190
0.0107,0.0000,0.0000,0.0000,0.0105,0.0001,200,0.2189
0.0117,0.0000,0.0000,0.0000,0.0116,0.0001,200,0.2190
0.0123,0.0000,0.0000,0.0000,0.0122,0.0001,200,0.2187
0.0375,0.0000,0.0000,0.0000,0.0374,0.0001,200,0.2189
0.0399,0.0000,0.0000,0.0000,0.0398,0.0001,200,0.2188
0.0402,0.0000,0.0000,0.0000,0.0401,0.0001,200,0.2190
0.0411,0.0000,0.0000,0.0000,0.0410,0.0000,200,0.2189
0.0481,0.0000,0.0000,0.0000,0.0480,0.0000,200,0.2190
0.0777,0.0000,0.0000,0.0000,0.0775,0.0001,200,0.2189
0.0084,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.2917
0.0099,0.0000,0.0000,0.0000,0.0097,0.0001,200,0.2916
0.0100,0.0000,0.0000,0.0000,0.0099,0.0000,200,0.2917
0.0842,0.0000,0.0000,0.0000,0.0841,0.0001,200,0.2188
0.0116,0.0000,0.0000,0.0000,0.0115,0.0001,200,0.2917
0.0121,0.0000,0.0000,0.0001,0.0119,0.0001,200,0.2914
0.0140,0.0000,0.0000,0.0000,0.0139,0.0001,200,0.2918
0.0090,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.3031
0.0402,0.0000,0.0000,0.0000,0.0401,0.0001,200,0.2915
0.0410,0.0000,0.0000,0.0000,0.0409,0.0001,200,0.2916
0.0461,0.0000,0.0000,0.0000,0.0459,0.0001,200,0.2916
0.0477,0.0000,0.0000,0.0000,0.0476,0.0000,200,0.2918
0.0509,0.0000,0.0000,0.0000,0.0508,0.0000,200,0.2917
0.0529,0.0000,0.0000,0.0000,0.0528,0.0000,200,0.2917
0.0531,0.0000,0.0000,0.0001,0.0529,0.0000,200,0.2916
0.0505,0.0000,0.0000,0.0000,0.0504,0.0001,200,0.2966
0.0089,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.3638
0.0103,0.0000,0.0000,0.0000,0.0101,0.0001,200,0.3638
