phase,algo,servers,load_frac,load_pct,target_qps,workers,duration_s,started,ended,total_responses,ok_responses,error_responses,error_pct,response_qps,error_qps,p50_us,p90_us,p99_us,p99_9_us,avg_us,status_dist
1,wrr,20,0.75,75,375,30,240,2026-07-06T21:38:51,2026-07-06T21:42:54,89998,89995,3,0.00333340740905,374.991666667,0.0125,15700,52200,91100,110500,31148.9744217,"{""200"": 89995, ""503"": 3}"
2,prequal,20,0.75,75,375,30,240,2026-07-06T21:42:54,2026-07-06T21:46:57,90000,90000,0,0,375,0,15800,52200,90000,98600,29397.3011111,"{""200"": 90000}"
3,wrr,20,0.83,83,415,30,240,2026-07-06T21:46:58,2026-07-06T21:51:01,99598,99593,5,0.00502018112814,414.991666667,0.0208333333333,37700,53900,90800,110200,31286.6854756,"{""200"": 99593, ""503"": 5}"
4,prequal,20,0.83,83,415,30,240,2026-07-06T21:51:02,2026-07-06T21:55:05,99597,99594,3,0.00301213891985,414.9875,0.0125,15600,52500,90500,103800,29519.7977851,"{""200"": 99594, ""503"": 3}"
5,wrr,20,0.93,93,465,30,240,2026-07-06T21:55:06,2026-07-06T21:59:10,111549,111543,6,0.00537880214076,464.7875,0.025,37700,56900,91200,115000,31565.4026482,"{""200"": 111543, ""503"": 6}"
6,prequal,20,0.93,93,465,30,240,2026-07-06T21:59:10,2026-07-06T22:03:14,111564,111564,0,0,464.85,0,15300,52600,90600,107600,29144.0213689,"{""200"": 111564}"
7,wrr,20,1.03,103,515,30,240,2026-07-06T22:03:15,2026-07-06T22:07:19,123244,123217,27,0.0219077602155,513.516666667,0.1125,37900,59500,92600,122000,32612.9953588,"{""200"": 123217, ""503"": 27}"
8,prequal,20,1.03,103,515,30,240,2026-07-06T22:07:20,2026-07-06T22:11:24,123507,123503,4,0.00323868282769,514.6125,0.0166666666667,15000,52400,90400,110900,28809.7039034,"{""200"": 123503, ""503"": 4}"
9,wrr,20,1.14,114,570,30,240,2026-07-06T22:11:25,2026-07-06T22:15:29,135543,135502,41,0.0302487033635,564.7625,0.170833333333,15400,62500,94300,124600,33331.561202,"{""200"": 135502, ""503"": 41}"
10,prequal,20,1.14,114,570,30,240,2026-07-06T22:15:30,2026-07-06T22:19:35,136688,136687,1,0.000731593117172,569.533333333,0.00416666666667,14700,52600,89700,101500,28512.5994967,"{""200"": 136687, ""503"": 1}"
11,wrr,20,1.27,127,635,30,240,2026-07-06T22:19:36,2026-07-06T22:23:41,148504,148447,57,0.0383828045036,618.766666667,0.2375,15300,66600,99200,128500,34256.1742445,"{""200"": 148447, ""503"": 57}"
12,prequal,20,1.27,127,635,30,240,2026-07-06T22:23:42,2026-07-06T22:27:47,151746,151742,4,0.00263598381506,632.275,0.0166666666667,13800,52200,87900,99300,27896.900742,"{""200"": 151742, ""503"": 4}"
13,wrr,20,1.41,141,705,30,240,2026-07-06T22:27:48,2026-07-06T22:31:53,156200,156058,142,0.0909090909091,650.833333333,0.591666666667,14700,66700,103200,138400,37257.9731114,"{""200"": 156058, ""503"": 142}"
14,prequal,20,1.41,141,705,30,240,2026-07-06T22:31:54,2026-07-06T22:35:59,167838,167838,0,0,699.325,0,12400,49000,77600,92300,22075.1861914,"{""200"": 167838}"
15,wrr,20,1.57,157,785,30,240,2026-07-06T22:36:00,2026-07-06T22:40:06,167899,167780,119,0.0708759432754,699.579166667,0.495833333333,12700,66900,104700,133700,35305.7546501,"{""200"": 167780, ""503"": 119}"
16,prequal,20,1.57,157,785,30,240,2026-07-06T22:40:07,2026-07-06T22:44:14,187787,187787,0,0,782.445833333,0,11900,46800,56400,87200,18081.4140489,"{""200"": 187787}"
17,wrr,20,1.74,174,870,30,240,2026-07-06T22:44:15,2026-07-06T22:48:21,180612,180514,98,0.0542599605785,752.55,0.408333333333,12200,64400,102700,129300,32581.3251611,"{""200"": 180514, ""503"": 98}"
18,prequal,20,1.74,174,870,30,240,2026-07-06T22:48:22,2026-07-06T22:52:29,208184,208184,0,0,867.433333333,0,11800,45900,56400,83800,17093.8804135,"{""200"": 208184}"
