response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0136,0.0010,0.0006,0.0001,0.0120,0.0001,200,0.0603
0.0136,0.0010,0.0002,0.0001,0.0122,0.0001,200,0.0603
0.0135,0.0014,0.0003,0.0001,0.0116,0.0001,200,0.0605
0.0135,0.0012,0.0008,0.0001,0.0122,0.0000,200,0.0605
0.0147,0.0007,0.0001,0.0000,0.0136,0.0001,200,0.0607
0.0153,0.0012,0.0009,0.0002,0.0137,0.0000,200,0.0602
0.0154,0.0014,0.0011,0.0001,0.0137,0.0000,200,0.0601
0.0154,0.0009,0.0005,0.0002,0.0139,0.0001,200,0.0603
0.0086,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.1162
0.0092,0.0000,0.0000,0.0000,0.0091,0.0001,200,0.1163
0.0097,0.0000,0.0000,0.0000,0.0096,0.0001,200,0.1163
0.0109,0.0000,0.0000,0.0001,0.0107,0.0000,200,0.1164
0.0118,0.0000,0.0000,0.0000,0.0116,0.0001,200,0.1161
0.0116,0.0000,0.0000,0.0000,0.0115,0.0001,200,0.1163
0.0133,0.0000,0.0000,0.0000,0.0131,0.0001,200,0.1162
0.0133,0.0000,0.0000,0.0000,0.0132,0.0000,200,0.1162
0.0098,0.0000,0.0000,0.0000,0.0095,0.0001,200,0.1728
0.0099,0.0000,0.0000,0.0000,0.0097,0.0001,200,0.1728
0.0099,0.0000,0.0000,0.0000,0.0098,0.0001,200,0.1729
0.0117,0.0000,0.0000,0.0000,0.0115,0.0001,200,0.1729
0.0116,0.0000,0.0000,0.0000,0.0114,0.0000,200,0.1730
0.0117,0.0000,0.0000,0.0000,0.0116,0.0001,200,0.1729
0.0118,0.0000,0.0000,0.0000,0.0117,0.0000,200,0.1728
0.0119,0.0000,0.0000,0.0000,0.0118,0.0001,200,0.1730
0.0124,0.0000,0.0000,0.0000,0.0123,0.0001,200,0.2284
0.0150,0.0000,0.0000,0.0000,0.0148,0.0001,200,0.2284
0.0152,0.0000,0.0000,0.0000,0.0151,0.0001,200,0.2282
0.0152,0.0000,0.0000,0.0000,0.0150,0.0001,200,0.2283
0.0151,0.0000,0.0000,0.0000,0.0150,0.0001,200,0.2283
0.0154,0.0000,0.0000,0.0000,0.0153,0.0000,200,0.2281
0.0156,0.0000,0.0000,0.0000,0.0155,0.0001,200,0.2282
0.0156,0.0000,0.0000,0.0000,0.0154,0.0001,200,0.2284
0.0093,0.0000,0.0000,0.0001,0.0091,0.0001,200,0.2854
0.0094,0.0000,0.0000,0.0000,0.0093,0.0001,200,0.2853
0.0095,0.0000,0.0000,0.0000,0.0094,0.0001,200,0.2853
0.0096,0.0000,0.0000,0.0000,0.0094,0.0001,200,0.2851
0.0120,0.0000,0.0000,0.0000,0.0118,0.0001,200,0.2853
0.0122,0.0000,0.0000,0.0000,0.0121,0.0000,200,0.2854
0.0128,0.0000,0.0000,0.0000,0.0127,0.0001,200,0.2851
0.0139,0.0000,0.0000,0.0000,0.0138,0.0001,200,0.2853
0.0079,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.3416
0.0084,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.3416
0.0090,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.3415
0.0105,0.0000,0.0000,0.0000,0.0102,0.0001,200,0.3415
0.0120,0.0000,0.0000,0.0000,0.0117,0.0001,200,0.3415
0.0136,0.0000,0.0000,0.0000,0.0135,0.0001,200,0.3416
0.0136,0.0000,0.0000,0.0000,0.0135,0.0001,200,0.3417
0.0146,0.0000,0.0000,0.0001,0.0144,0.0001,200,0.3415
0.0088,0.0000,0.0000,0.0000,0.0087,0.0001,200,0.3975
0.0090,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.3974
0.0105,0.0000,0.0000,0.0000,0.0102,0.0001,200,0.3973
0.0109,0.0000,0.0000,0.0000,0.0107,0.0001,200,0.3973
0.0113,0.0000,0.0000,0.0001,0.0111,0.0001,200,0.3974
0.0112,0.0000,0.0000,0.0000,0.0111,0.0001,200,0.3975
0.0129,0.0000,0.0000,0.0000,0.0127,0.0001,200,0.3975
0.0146,0.0000,0.0000,0.0000,0.0145,0.0000,200,0.3974
0.0096,0.0000,0.0000,0.0000,0.0094,0.0001,200,0.4545
0.0116,0.0000,0.0000,0.0000,0.0114,0.0001,200,0.4543
0.0117,0.0000,0.0000,0.0000,0.0115,0.0001,200,0.4544
0.0132,0.0000,0.0000,0.0000,0.0131,0.0001,200,0.4545
0.0134,0.0000,0.0000,0.0000,0.0133,0.0001,200,0.4544
0.0133,0.0000,0.0000,0.0000,0.0132,0.0001,200,0.4545
0.0150,0.0000,0.0000,0.0002,0.0147,0.0001,200,0.4544
0.0151,0.0000,0.0000,0.0000,0.0150,0.0001,200,0.4545
0.0103,0.0000,0.0000,0.0000,0.0102,0.0001,200,0.5110
0.0102,0.0000,0.0000,0.0000,0.0100,0.0000,200,0.5111
0.0119,0.0000,0.0000,0.0000,0.0117,0.0001,200,0.5112
0.0121,0.0000,0.0000,0.0000,0.0119,0.0001,200,0.5110
0.0122,0.0000,0.0000,0.0000,0.0121,0.0001,200,0.5111
0.0139,0.0000,0.0000,0.0000,0.0137,0.0001,200,0.5111
0.0157,0.0000,0.0000,0.0000,0.0155,0.0001,200,0.5110
0.0156,0.0000,0.0000,0.0000,0.0155,0.0001,200,0.5111
0.0093,0.0000,0.0000,0.0000,0.0092,0.0001,200,0.5672
0.0112,0.0000,0.0000,0.0000,0.0110,0.0001,200,0.5669
0.0123,0.0000,0.0000,0.0000,0.0121,0.0001,200,0.5669
0.0123,0.0000,0.0000,0.0000,0.0122,0.0001,200,0.5671
0.0123,0.0000,0.0000,0.0000,0.0122,0.0001,200,0.5672
0.0128,0.0000,0.0000,0.0000,0.0126,0.0001,200,0.5670
0.0141,0.0000,0.0000,0.0000,0.0140,0.0001,200,0.5672
0.0143,0.0000,0.0000,0.0000,0.0141,0.0000,200,0.5670
0.0097,0.0000,0.0000,0.0000,0.0096,0.0001,200,0.6226
0.0098,0.0000,0.0000,0.0000,0.0096,0.0001,200,0.6227
0.0117,0.0000,0.0000,0.0000,0.0116,0.0001,200,0.6225
0.0117,0.0000,0.0000,0.0000,0.0115,0.0001,200,0.6226
0.0132,0.0000,0.0000,0.0000,0.0130,0.0001,200,0.6227
0.0134,0.0000,0.0000,0.0000,0.0132,0.0001,200,0.6227
0.0134,0.0000,0.0000,0.0000,0.0132,0.0001,200,0.6227
0.0134,0.0000,0.0000,0.0000,0.0132,0.0001,200,0.6227
0.0100,0.0000,0.0000,0.0000,0.0098,0.0001,200,0.6793
0.0113,0.0000,0.0000,0.0000,0.0112,0.0001,200,0.6792
0.0113,0.0000,0.0000,0.0001,0.0112,0.0001,200,0.6793
0.0114,0.0000,0.0000,0.0000,0.0112,0.0001,200,0.6794
0.0117,0.0000,0.0000,0.0001,0.0115,0.0001,200,0.6794
0.0117,0.0000,0.0000,0.0000,0.0115,0.0000,200,0.6794
0.0128,0.0000,0.0000,0.0000,0.0126,0.0001,200,0.6794
0.0130,0.0000,0.0000,0.0000,0.0127,0.0001,200,0.6793
0.0122,0.0000,0.0000,0.0000,0.0121,0.0001,200,0.7356
0.0121,0.0000,0.0000,0.0000,0.0120,0.0001,200,0.7358
0.0122,0.0000,0.0000,0.0000,0.0121,0.0001,200,0.7357
0.0127,0.0000,0.0000,0.0000,0.0126,0.0001,200,0.7357
0.0126,0.0000,0.0000,0.0000,0.0125,0.0001,200,0.7358
0.0129,0.0000,0.0000,0.0000,0.0128,0.0000,200,0.7357
0.0132,0.0000,0.0000,0.0000,0.0131,0.0001,200,0.7357
0.0148,0.0000,0.0000,0.0000,0.0147,0.0001,200,0.7357
0.0101,0.0000,0.0000,0.0000,0.0099,0.0001,200,0.7918
0.0104,0.0000,0.0000,0.0000,0.0102,0.0001,200,0.7921
0.0105,0.0000,0.0000,0.0000,0.0104,0.0000,200,0.7920
0.0110,0.0000,0.0000,0.0000,0.0108,0.0001,200,0.7921
0.0127,0.0000,0.0000,0.0000,0.0126,0.0000,200,0.7922
0.0132,0.0000,0.0000,0.0000,0.0131,0.0001,200,0.7921
0.0150,0.0000,0.0000,0.0000,0.0148,0.0001,200,0.7919
