phase,servers,load_frac,load_pct,probe_rate,probe_label,effective_async_probes,target_qps,timestamp,elapsed_s,rif_p50,rif_p90,rif_p99,rif_limit,sample_count,rif_values
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:32,24.533,0.0,1.0,2.0,1.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:32,25.038,1.0,3.0,6.0,3.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 6.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:33,25.539,0.0,1.0,2.0,1.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:33,26.041,1.0,4.0,6.0,4.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 4.0, 4.0, 4.0, 6.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:34,26.543,0.0,1.0,2.0,1.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:34,27.044,1.0,2.0,2.0,2.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:35,27.546,0.0,1.0,2.0,1.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:35,28.048,0.0,1.0,4.0,1.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 4.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:36,28.549,0.0,1.0,2.0,1.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:36,29.051,0.0,1.0,2.0,1.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]"
