phase,algo,servers,load_frac,load_pct,probe_rate,probe_label,effective_async_probes,target_qps,workers,bin_seconds,bin_index,timestamp,elapsed_s,p50_us,p90_us,p99_us,p99_9_us,avg_us,total_responses,ok_responses,error_responses,response_qps,error_qps,status_dist
1,prequal,20,1.5,150,4.0,4,4,750,30,5,0,2026-07-06T07:21:34.359,26.604,12400.0,49100.0,66000.0,95300.0,19842.868741542625,3695,3695,0,739.0,0.0,"{""200"": 3695}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,1,2026-07-06T07:21:39.359,31.604,12300.0,49000.0,62799.99999999999,94900.0,19918.60902255639,3724,3724,0,744.8,0.0,"{""200"": 3724}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,2,2026-07-06T07:21:44.359,36.604,12200.0,48700.0,60100.0,90400.0,19807.679957184908,3737,3737,0,747.4,0.0,"{""200"": 3737}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,3,2026-07-06T07:21:49.359,41.604,12400.0,48600.0,58500.0,88700.0,19916.238630283573,3738,3738,0,747.6,0.0,"{""200"": 3738}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,4,2026-07-06T07:21:54.359,46.604,12100.0,48800.0,62100.0,94200.0,19764.406325381937,3731,3731,0,746.2,0.0,"{""200"": 3731}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,5,2026-07-06T07:21:59.359,51.604,12300.0,48600.0,61100.0,86700.0,20006.932548179873,3736,3736,0,747.2,0.0,"{""200"": 3736}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,6,2026-07-06T07:22:04.359,56.604,12200.0,48500.0,61800.0,88900.0,20140.8201554543,3731,3731,0,746.2,0.0,"{""200"": 3731}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,7,2026-07-06T07:22:09.359,61.604,12300.0,48600.0,57800.0,84100.0,19964.581662657045,3741,3741,0,748.2,0.0,"{""200"": 3741}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,8,2026-07-06T07:22:14.359,66.604,12200.0,48700.0,61300.0,91900.0,19772.73701124799,3734,3734,0,746.8,0.0,"{""200"": 3734}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,9,2026-07-06T07:22:19.359,71.604,12300.0,48700.0,57600.0,84100.0,19767.103854389723,3736,3736,0,747.2,0.0,"{""200"": 3736}"
