phase,algo,servers,load_frac,load_pct,qrif,qrif_label,qrif_runtime,probe_rate,target_qps,workers,duration_s,started,ended,command,returncode,total_responses,ok_responses,error_responses,error_pct,response_qps,error_qps,p50_us,p90_us,p99_us,p99_9_us,avg_us,status_dist
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,240,2026-07-08T12:56:36,2026-07-08T13:00:45,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269989,269500,489,0.18111849001255606,1124.9541666666667,2.0375,53000.0,93500.0,136200.0,164100.0,57707.766604823744,"{""200"": 269500, ""503"": 489}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,240,2026-07-08T13:01:11,2026-07-08T13:05:20,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269992,269529,463,0.17148656256481673,1124.9666666666667,1.9291666666666667,53000.0,93500.0,136500.0,163600.0,57614.125381684345,"{""200"": 269529, ""503"": 463}"
3,prequal,20,0.75,75,0.39,.39,0.39,3.0,1125,120,240,2026-07-08T13:05:46,2026-07-08T13:09:56,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269989,269494,495,0.18334080277344633,1124.9541666666667,2.0625,53000.0,93700.0,136700.0,163500.0,57648.83040067682,"{""200"": 269494, ""503"": 495}"
4,prequal,20,0.75,75,0.43,.43,0.43,3.0,1125,120,240,2026-07-08T13:10:22,2026-07-08T13:14:31,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269989,269455,534,0.197785835719233,1124.9541666666667,2.225,53000.0,93600.0,136200.0,164100.0,57644.892097010634,"{""200"": 269455, ""503"": 534}"
5,prequal,20,0.75,75,0.48,.48,0.48,3.0,1125,120,240,2026-07-08T13:14:57,2026-07-08T13:19:06,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269995,269461,534,0.1977814403970444,1124.9791666666667,2.225,53000.0,93600.0,136700.0,163000.0,57638.012922092625,"{""200"": 269461, ""503"": 534}"
6,prequal,20,0.75,75,0.53,.53,0.53,3.0,1125,120,240,2026-07-08T13:19:32,2026-07-08T13:23:41,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269988,269476,512,0.18963805798776243,1124.95,2.1333333333333333,52900.0,93600.0,136800.0,164700.0,57643.21126927815,"{""200"": 269476, ""503"": 512}"
7,prequal,20,0.75,75,0.59,.59,0.59,3.0,1125,120,240,2026-07-08T13:24:07,2026-07-08T13:28:16,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269995,269594,401,0.14852126891238726,1124.9791666666667,1.6708333333333334,53000.0,93500.0,136400.0,163900.0,57610.904174425246,"{""200"": 269594, ""503"": 401}"
8,prequal,20,0.75,75,0.66,.66,0.66,3.0,1125,120,240,2026-07-08T13:28:42,2026-07-08T13:32:52,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269992,269597,395,0.14630063112981126,1124.9666666666667,1.6458333333333333,53000.0,93600.0,136000.0,164000.0,57605.41957069255,"{""200"": 269597, ""503"": 395}"
9,prequal,20,0.75,75,0.73,.73,0.73,3.0,1125,120,240,2026-07-08T13:33:18,2026-07-08T13:37:27,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269995,269549,446,0.16518824422674494,1124.9791666666667,1.8583333333333334,53000.0,93800.0,136700.0,164100.0,57686.50226860422,"{""200"": 269549, ""503"": 446}"
10,prequal,20,0.75,75,0.81,.81,0.81,3.0,1125,120,240,2026-07-08T13:37:53,2026-07-08T13:42:02,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269986,269520,466,0.17260154230219343,1124.9416666666666,1.9416666666666667,53000.0,93500.0,136100.0,163300.0,57668.66317898486,"{""200"": 269520, ""503"": 466}"
11,prequal,20,0.75,75,0.9,.90,0.9,3.0,1125,120,240,2026-07-08T13:42:28,2026-07-08T13:46:38,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269998,269535,463,0.17148275172408683,1124.9916666666666,1.9291666666666667,52900.0,93300.0,136100.0,163600.0,57487.52555326767,"{""200"": 269535, ""503"": 463}"
12,prequal,20,0.75,75,0.99,.99,0.99,3.0,1125,120,240,2026-07-08T13:47:04,2026-07-08T13:51:13,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269996,269500,496,0.18370642528037454,1124.9833333333333,2.066666666666667,53000.0,93600.0,136900.0,164100.0,57664.70871985158,"{""200"": 269500, ""503"": 496}"
13,prequal,20,0.75,75,0.999,.999,0.999,3.0,1125,120,240,2026-07-08T13:51:39,2026-07-08T13:55:48,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269994,269574,420,0.15555901242249828,1124.975,1.75,52900.0,93400.0,136400.0,163600.0,57602.70537959892,"{""200"": 269574, ""503"": 420}"
14,prequal,20,0.75,75,1.0,1.0,1.0,3.0,1125,120,240,2026-07-08T13:56:15,2026-07-08T14:00:24,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269993,269499,494,0.18296770657017034,1124.9708333333333,2.058333333333333,52900.0,93200.0,136200.0,164100.0,57484.20587831495,"{""200"": 269499, ""503"": 494}"
